workload,n_qubits,backend,opt_level,shots,transpile_time_s,runtime_s,depth,gate_count,two_qubit_gate_count,quality_score
ghz,3,ideal_simulator,0,512,0.3079512499971315,0.0015191249985946342,4,6,2,1.0
ghz,3,ideal_simulator,1,512,0.040681458995095454,0.000784874995588325,4,6,2,1.0
ghz,3,ideal_simulator,2,512,0.05134004099818412,0.0006882090092403814,4,6,2,1.0
ghz,3,ideal_simulator,3,512,0.0410372920014197,0.0006196250033099204,4,6,2,1.0
ghz,3,fake_nairobi,0,512,0.0028688750026049092,0.008710207999683917,6,8,2,0.896484375
ghz,3,fake_nairobi,1,512,0.0020716669969260693,0.008415750009589829,6,8,2,0.896484375
ghz,3,fake_nairobi,2,512,0.00296024999988731,0.008432750008068979,6,8,2,0.939453125
ghz,3,fake_nairobi,3,512,0.004016292004962452,0.009004833991639316,6,8,2,0.91796875
ghz,4,ideal_simulator,0,512,0.03894754200882744,0.0007289579953067005,5,8,3,1.0
ghz,4,ideal_simulator,1,512,0.03985337499761954,0.000701625001966022,5,8,3,1.0
ghz,4,ideal_simulator,2,512,0.0413101669983007,0.0007010830013314262,5,8,3,1.0
ghz,4,ideal_simulator,3,512,0.04058245799387805,0.0006992080016061664,5,8,3,1.0
ghz,4,fake_nairobi,0,512,0.0017921250109793618,0.009433917002752423,10,13,6,0.86328125
ghz,4,fake_nairobi,1,512,0.0018706669943640009,0.008431708993157372,7,10,3,0.90625
ghz,4,fake_nairobi,2,512,0.004006000002846122,0.00961741698847618,7,10,3,0.880859375
ghz,4,fake_nairobi,3,512,0.002985165992868133,0.008442040998488665,7,10,3,0.880859375
