workload,n_qubits,backend,opt_level,shots,transpile_time_s,runtime_s,depth,gate_count,two_qubit_gate_count,quality_score
ghz,3,ideal_simulator,0,1024,0.22742066599312238,0.002159000010578893,4,6,2,1.0
ghz,3,ideal_simulator,1,1024,0.040449833002639934,0.001122208996093832,4,6,2,1.0
ghz,3,ideal_simulator,2,1024,0.040974542003823444,0.0009517920116195455,4,6,2,1.0
ghz,3,ideal_simulator,3,1024,0.03980370800127275,0.0010367499926360324,4,6,2,1.0
ghz,3,fake_nairobi,0,1024,0.0026524159911787137,0.009186416005832143,6,8,2,0.9091796875
ghz,3,fake_nairobi,1,1024,0.0020048750011483207,0.008843499992508441,6,8,2,0.916015625
ghz,3,fake_nairobi,2,1024,0.0028974579909117892,0.008860957997967489,6,8,2,0.92578125
ghz,3,fake_nairobi,3,1024,0.004221750001306646,0.008810125000309199,6,8,2,0.9208984375
ghz,3,fake_lagos,0,1024,0.0014707920054206625,0.017796332991565578,6,8,2,0.419921875
ghz,3,fake_lagos,1,1024,0.001644207994104363,0.017920458994922228,6,8,2,0.3984375
ghz,3,fake_lagos,2,1024,0.0027005419979104772,0.016900749993510544,6,8,2,0.685546875
ghz,3,fake_lagos,3,1024,0.0028321670106379315,0.017993125002249144,6,8,2,0.7255859375
ghz,5,ideal_simulator,0,1024,0.03912716600461863,0.0014184589963406324,6,10,4,1.0
ghz,5,ideal_simulator,1,1024,0.039689208002528176,0.0012665419926634058,6,10,4,1.0
ghz,5,ideal_simulator,2,1024,0.0403545830049552,0.0012426670000422746,6,10,4,1.0
ghz,5,ideal_simulator,3,1024,0.04026395900291391,0.0012582500057760626,6,10,4,1.0
ghz,5,fake_nairobi,0,1024,0.0017142090073321015,0.009878459008177742,11,18,10,0.83984375
ghz,5,fake_nairobi,1,1024,0.0018660000059753656,0.009299625002313405,8,12,4,0.865234375
ghz,5,fake_nairobi,2,1024,0.002817208005581051,0.010703375010052696,8,12,4,0.857421875
ghz,5,fake_nairobi,3,1024,0.002996082999743521,0.008989917012513615,8,12,4,0.87109375
ghz,5,fake_lagos,0,1024,0.0023894170008134097,0.019220709000364877,11,18,10,0.2490234375
ghz,5,fake_lagos,1,1024,0.001732042001094669,0.01700445800088346,8,12,4,0.49609375
ghz,5,fake_lagos,2,1024,0.002826167008606717,0.017786790995160118,8,12,4,0.5
ghz,5,fake_lagos,3,1024,0.002988249994814396,0.016932792001171038,8,12,4,0.5087890625
qaoa_maxcut,3,ideal_simulator,0,1024,0.03856999998970423,0.8950238760007778,6,12,2,1.0
qaoa_maxcut,3,ideal_simulator,1,1024,0.03850504200090654,1.034940708981594,6,11,2,0.9990234375
qaoa_maxcut,3,ideal_simulator,2,1024,0.04057370800001081,1.223987250996288,6,11,2,0.998046875
qaoa_maxcut,3,ideal_simulator,3,1024,0.04007925000041723,1.2352066239982378,6,11,2,0.9951171875
qaoa_maxcut,3,fake_nairobi,0,1024,0.0012644170055864379,0.315763667007559,20,33,5,0.88671875
qaoa_maxcut,3,fake_nairobi,1,1024,0.0015122500044526532,0.3291413750121137,12,25,2,0.9541015625
qaoa_maxcut,3,fake_nairobi,2,1024,0.0024342910037375987,0.3577855419862317,12,24,2,0.94921875
qaoa_maxcut,3,fake_nairobi,3,1024,0.0025472919951425865,0.400312917001429,12,24,2,0.9375
qaoa_maxcut,3,fake_lagos,0,1024,0.0015382499987026677,0.5669723750179401,20,33,5,0.4716796875
qaoa_maxcut,3,fake_lagos,1,1024,0.0017854589968919754,0.5865946249978151,12,25,2,0.8203125
qaoa_maxcut,3,fake_lagos,2,1024,0.002518249995773658,0.6157861660030903,12,24,2,0.8310546875
qaoa_maxcut,3,fake_lagos,3,1024,0.002632208008435555,0.5759167079959298,12,24,2,0.802734375
qaoa_maxcut,5,ideal_simulator,0,1024,0.03793525000219233,1.1948706680122996,15,27,8,0.523681640625
qaoa_maxcut,5,ideal_simulator,1,1024,0.040239125009975396,1.1831177080021007,15,27,8,0.52294921875
qaoa_maxcut,5,ideal_simulator,2,1024,0.04076875001192093,1.250710499996785,15,27,8,0.5380859375
qaoa_maxcut,5,ideal_simulator,3,1024,0.04089824999391567,1.1079939160117647,15,27,8,0.541259765625
qaoa_maxcut,5,fake_nairobi,0,1024,0.0012787920131813735,0.41399691700644325,24,66,17,0.536376953125
qaoa_maxcut,5,fake_nairobi,1,1024,0.0015564579953206703,0.32569704100023955,21,57,8,0.507568359375
qaoa_maxcut,5,fake_nairobi,2,1024,0.002565499991760589,0.37906691600801423,21,54,8,0.52197265625
qaoa_maxcut,5,fake_nairobi,3,1024,0.002495916996849701,0.3440923760063015,21,54,8,0.51953125
qaoa_maxcut,5,fake_lagos,0,1024,0.0013750420039286837,0.5611784170032479,24,66,17,0.48486328125
qaoa_maxcut,5,fake_lagos,1,1024,0.0016087499971035868,0.6094167090050178,21,57,8,0.513671875
qaoa_maxcut,5,fake_lagos,2,1024,0.0026405420067021623,0.6684755829919595,21,54,8,0.49951171875
qaoa_maxcut,5,fake_lagos,3,1024,0.0026729590026661754,0.6871514579979703,21,54,8,0.49755859375
