workload,n_qubits,backend,opt_level,shots,transpile_time_s,runtime_s,depth,gate_count,two_qubit_gate_count,quality_score
ghz,3,ideal_simulator,0,512,0.3370851250074338,0.003678249995573424,4,6,2,1.0
ghz,3,ideal_simulator,1,512,0.04196920900722034,0.0006954590062377974,4,6,2,1.0
ghz,3,ideal_simulator,2,512,0.04188237500784453,0.0006291250028880313,4,6,2,1.0
ghz,3,ideal_simulator,3,512,0.04018691700184718,0.0007099159993231297,4,6,2,1.0
ghz,3,fake_nairobi,0,512,0.004045916997711174,0.00920729099016171,6,8,2,0.91015625
ghz,3,fake_nairobi,1,512,0.002017125007114373,0.008369999995920807,6,8,2,0.89453125
ghz,3,fake_nairobi,2,512,0.0034991669963346794,0.008511082996847108,6,8,2,0.94140625
ghz,3,fake_nairobi,3,512,0.004349332986748777,0.008742833000724204,6,8,2,0.927734375
ghz,4,ideal_simulator,0,512,0.04038649999711197,0.0009115830034716055,5,8,3,1.0
ghz,4,ideal_simulator,1,512,0.04001887500635348,0.0007557079952675849,5,8,3,1.0
ghz,4,ideal_simulator,2,512,0.04139079200103879,0.0008942499989643693,5,8,3,1.0
ghz,4,ideal_simulator,3,512,0.041794667005888186,0.0009010830108309165,5,8,3,1.0
ghz,4,fake_nairobi,0,512,0.003952667000703514,0.008574833002057858,10,13,6,0.84375
ghz,4,fake_nairobi,1,512,0.0019447920058155432,0.008631667005829513,7,10,3,0.90234375
ghz,4,fake_nairobi,2,512,0.003954540996346623,0.008439208002528176,7,10,3,0.91015625
ghz,4,fake_nairobi,3,512,0.00296995798998978,0.008545707998564467,7,10,3,0.89453125
qaoa_maxcut,3,ideal_simulator,0,512,0.03876237499935087,1.1738829999958398,6,12,2,0.9921875
qaoa_maxcut,3,ideal_simulator,1,512,0.03814558300655335,1.1687215819983976,6,11,2,0.986328125
qaoa_maxcut,3,ideal_simulator,2,512,0.04178749999846332,1.2203740419936366,6,11,2,1.0
qaoa_maxcut,3,ideal_simulator,3,512,0.03971666700090282,1.2248192490078509,6,11,2,1.0
qaoa_maxcut,3,fake_nairobi,0,512,0.001228417007951066,0.29024462499364745,20,33,5,0.91015625
qaoa_maxcut,3,fake_nairobi,1,512,0.0015618340112268925,0.32632408301287796,12,25,2,0.94921875
qaoa_maxcut,3,fake_nairobi,2,512,0.0024427089956589043,0.34619716700399294,12,24,2,0.84375
qaoa_maxcut,3,fake_nairobi,3,512,0.002563540998380631,0.30315016699023545,12,24,2,0.822265625
qaoa_maxcut,4,ideal_simulator,0,512,0.03879320800479036,1.172305750005762,6,18,4,0.998046875
qaoa_maxcut,4,ideal_simulator,1,512,0.03876129200216383,0.9982642510003643,6,18,4,1.0
qaoa_maxcut,4,ideal_simulator,2,512,0.03926016700279433,1.2303305840032408,6,18,4,1.0
qaoa_maxcut,4,ideal_simulator,3,512,0.04159783299837727,1.1318616250064224,6,18,4,1.0
qaoa_maxcut,4,fake_nairobi,0,512,0.0012368750030873343,0.32486170799529646,23,45,7,0.9013671875
qaoa_maxcut,4,fake_nairobi,1,512,0.001487790999817662,0.34101862499665003,12,42,4,0.884765625
qaoa_maxcut,4,fake_nairobi,2,512,0.002502624993212521,0.3570540820073802,12,40,4,0.876953125
qaoa_maxcut,4,fake_nairobi,3,512,0.00263612499111332,0.39752783300355077,12,40,4,0.9345703125
