workload,n_qubits,backend,opt_level,shots,transpile_time_s,runtime_s,depth,gate_count,two_qubit_gate_count,quality_score
ghz,3,ideal_simulator,0,512,0.27706870800466277,0.0028702499985229224,4,6,2,1.0
ghz,3,ideal_simulator,1,512,0.04097649999312125,0.0006783749995520338,4,6,2,1.0
ghz,3,ideal_simulator,2,512,0.041242874998715706,0.0006830419879406691,4,6,2,1.0
ghz,3,ideal_simulator,3,512,0.04089258299791254,0.0006817500106990337,4,6,2,1.0
ghz,5,ideal_simulator,0,512,0.03837999999814201,0.0008402079984080046,6,10,4,1.0
ghz,5,ideal_simulator,1,512,0.039022291006403975,0.0008162920130416751,6,10,4,1.0
ghz,5,ideal_simulator,2,512,0.040005917006055824,0.0008110419876175001,6,10,4,1.0
ghz,5,ideal_simulator,3,512,0.04005745799804572,0.0008173330134013668,6,10,4,1.0
